"Šifra";"Naziv proizvoda";"Brend";"Kategorija";"Aktualna cijena (EUR)";"Redovna cijena (EUR)";"Dostupne veličine";"Boja";"Dostupnost";"Poveznica"
"KOA01_Z_GREEN";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"36";"zelena";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11441/"
"KOA01_P_GREEN";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"37, 40";"zelena";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11443/"
"KOA05_1_WHITE";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"49,99";"54,99";"37";"bijela";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11450/"
"KOA05_C_HEART";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"36";"sareno";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11456/"
"KOA06_SILVER";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"36, 41";"srebrna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11457/"
"KOA05_C_BLACK";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"37";"crna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11459/"
"KOA05_FLOWER";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"36";"cvjetna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11461/"
"KOA05_C_FLOWER";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"40";"cvjetna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11857/"
"AA01_BLACK";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"56,99";"62,99";"41";"crna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12013/"
"AA01_2_TERAKOTA";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"56,99";"62,99";"36";"smeda";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12146/"
