"Šifra";"Prethodna sidrena (redovna)";"Ispravljena sidrena (akcijska)";"Aktualna cijena u snapshotu";"Redovna cijena u snapshotu"
"WLFP0230_1PINK";"17,99";"14,99";"14,99";"17,99"
"WLFP0230_BLUE";"17,99";"14,99";"14,99";"17,99"
"WLFP0230_NAVY";"17,99";"14,99";"14,99";"17,99"
"WLFP0230_PINK";"17,99";"14,99";"14,99";"17,99"
"WLFP231_PINK";"23,79";"17,99";"17,99";"23,79"
"WLFP0332_BROWN";"24,99";"15,99";"15,99";"24,99"
"WLFP0332_PINK";"24,99";"15,99";"15,99";"24,99"
"WLFP0342_NAVY";"15,79";"7,99";"7,99";"15,79"
"WLFP0420_1NAVY";"34,99";"19,99";"19,99";"34,99"
"WLFP02025_BROWN";"29,99";"24,99";"24,99";"29,99"
"WLFP52025_BLUE";"9,99";"5,99";"5,99";"9,99"
"WLFP52025_YELLOW";"9,99";"5,99";"5,99";"9,99"
"WLFP92025_GREY";"29,99";"24,99";"24,99";"29,99"
"WLFP112025_NAVY";"24,99";"19,99";"19,99";"24,99"
"WLFP112025_RED_NAVY";"24,99";"19,99";"19,99";"24,99"
"WLFP112025_WHITE_BLUE";"24,99";"19,99";"19,99";"24,99"
"WLFP122025_BLACK";"24,99";"19,99";"19,99";"24,99"
"WLFP122025_BLUE";"24,99";"19,99";"19,99";"24,99"
"WLFP122025_WHITE";"24,99";"19,99";"19,99";"24,99"
"WLFP262025_BLUE";"17,99";"14,99";"14,99";"17,99"
"WLFP292025_BLUE";"17,99";"14,99";"14,99";"17,99"
"WLFP342025_NAVY";"16,99";"14,99";"14,99";"16,99"
"WLFP642025_NAVY";"24,99";"19,99";"19,99";"24,99"
"WLFP682025_BLUE";"29,99";"14,90";"14,90";"29,99"
"WLFP752025_BLACK";"29,99";"24,99";"24,99";"29,99"
"WLFP752025_BLUE";"29,99";"24,99";"24,99";"29,99"
"WLFP882025_BLUE";"29,99";"24,99";"24,99";"29,99"
"WLFP892025_1_BLACK";"5,99";"3,99";"3,99";"5,99"
"WLFP892025_BLACK";"5,99";"3,99";"3,99";"5,99"
"WLFP982025_BEIGE";"29,99";"23,99";"23,99";"29,99"
"WLFP1222025_BLUE";"24,99";"19,99";"19,99";"24,99"
"WLFP1302025_BLACK";"24,99";"19,99";"19,99";"24,99"
"WLFP1352025_BLACK";"24,99";"19,99";"19,99";"24,99"
"WLFP1372025_BLUE";"29,99";"24,99";"24,99";"29,99"
"WLFP1372025_PINK";"29,99";"24,99";"24,99";"29,99"
"WLFP1702025_WHITE";"24,99";"19,99";"19,99";"24,99"
"WW069_BLACK";"23,99";"13,99";"13,99";"23,99"
"WW069_WHITE";"23,99";"13,99";"13,99";"23,99"
"X2205_PINK";"22,99";"19,99";"19,99";"22,99"
"X2211_BLUE";"23,99";"17,99";"17,99";"23,99"
"X77182A_BLACK";"27,99";"16,99";"16,99";"27,99"
"Y017_GREEN";"20,99";"17,99";"17,99";"20,99"
"YO636_BLACK";"21,99";"19,99";"19,99";"21,99"
"ZA22_BLACK";"18,99";"16,99";"16,99";"18,99"
